node_name	node_type	
DB00500	drug	
PTGS2	drug_target	
PTGS1	drug_target	
TDO2	drug_target	
MPO	drug_target	
ALB	drug_target	
SLC22A6	drug_target	
Echinococcosis	phenotype	
gastritis h pylori	phenotype	
Creutzfeldt-Jakob Disease, Sporadic	phenotype	
keratoacanthoma	phenotype	
Pericardial effusion	phenotype	
Rhinitis, Allergic, Perennial	phenotype	
Rotavirus Infections	phenotype	
Bronchogenic Carcinoma	phenotype	
Anaphylactic shock NOS	phenotype	
Stomach Diseases	phenotype	
Drusen	phenotype	
Renovascular hypertension	phenotype	
Neuritis	phenotype	
Cervical Adenocarcinoma	phenotype	
Dyspepsia	phenotype	
Medullary carcinoma	phenotype	
Adverse drug events and drug allergies	phenotype	
Colonic Polyps	phenotype	
Esophagitis	phenotype	
Idiopathic Inflammatory Myopathies	phenotype	
Cytochrome-c oxidase deficiency	phenotype	
gliosarcoma	phenotype	
Colorectal polyposis	phenotype	
Acute Lung Injury	phenotype	
Peutz-Jeghers syndrome	phenotype	
Complications of Diabetes Mellitus	phenotype	
Pulmonary edema	phenotype	
Duodenal Ulcer	phenotype	
IMMUNE SUPPRESSION	phenotype	
Adult type dermatomyositis	phenotype	
Intestinal polyp	phenotype	
Type 1 diabetic neuropathy	phenotype	
Urinary tract infection	phenotype	
Reperfusion Injury	phenotype	
Creutzfeldt-Jakob Syndrome	phenotype	
Hyperplastic Polyp	phenotype	
Acute Coronary Syndrome	phenotype	
Polymyositis	phenotype	
Intraocular pressure disorder	phenotype	
Hamartoma	phenotype	
Idiopathic Pulmonary Fibrosis	phenotype	
Helicobacter Infections	phenotype	
Dermatomyositis	phenotype	
Ovarian cyst	phenotype	
Gastric ulcer	phenotype	
Peptic ulcer	phenotype	
Erythema	phenotype	
Urticaria	phenotype	
Hepatitis	phenotype	
Experimental Autoimmune Encephalomyelitis	phenotype	
Musculoskeletal Diseases	phenotype	
Pregnancy Complications, Hematologic	phenotype	
Acute hepatic failure	phenotype	
Myositis	phenotype	
Lyme Disease	phenotype	
Brain Ischemia	phenotype	
Chronic liver disease	phenotype	
Arthropathy	phenotype	
Polycystic kidney disease, autosomal dominant	phenotype	
Fetal Diseases	phenotype	
Ureteral obstruction	phenotype	
Thrombosis	phenotype	
